ID,Name,Stars,Forks,Open Issues,Closed Issues,PRs,Releases,Pushed At,Created At,Primary Language
MDEwOlJlcG9zaXRvcnkzNzIyNDA0MDI=,bulletproof-react,29956,2711,31,76,113,0,2024-12-08T20:04:12Z,2021-05-30T14:47:16Z,TypeScript
MDEwOlJlcG9zaXRvcnk1NjM1Mzc0MA==,minikube,29955,4689,504,9345,10533,150,2025-02-21T18:47:08Z,2016-04-15T22:38:35Z,Go
MDEwOlJlcG9zaXRvcnkxMDU2NzE5Nw==,dokku,29953,1933,47,2719,4437,294,2025-02-22T06:42:11Z,2013-06-08T10:26:57Z,Shell
MDEwOlJlcG9zaXRvcnkxMzU4NDI2Mg==,webtorrent,29952,2697,66,1586,1175,210,2025-02-16T22:49:45Z,2013-10-15T08:16:40Z,JavaScript
MDEwOlJlcG9zaXRvcnkyODU4NjQxOTk=,go-zero,29947,3960,217,1514,2851,125,2025-02-22T00:19:30Z,2020-08-07T15:37:57Z,Go
MDEwOlJlcG9zaXRvcnkzNDc1NzE4Mg==,interactive-coding-challenges,29945,4384,36,32,242,0,2024-05-08T23:07:36Z,2015-04-28T21:36:39Z,Python
MDEwOlJlcG9zaXRvcnkxMjIyNjc4Ng==,sharp,29919,1287,128,3771,425,88,2025-02-23T14:59:49Z,2013-08-19T20:24:24Z,JavaScript
R_kgDOJIDl7g,stanford_alpaca,29841,3979,173,98,49,0,2024-07-17T09:43:05Z,2023-03-10T23:33:09Z,Python
MDEwOlJlcG9zaXRvcnk0MDIwNDY=,jsPDF,29817,4568,115,2409,1292,34,2025-02-19T09:39:09Z,2009-12-06T14:56:32Z,JavaScript
MDEwOlJlcG9zaXRvcnk3OTAzNTk=,sequelize,29796,4161,864,9503,6697,484,2025-02-23T10:03:36Z,2010-07-22T07:11:11Z,TypeScript
MDEwOlJlcG9zaXRvcnk0ODYyNjMzNQ==,vue-cli,29759,6285,934,4558,1815,177,2025-02-18T18:08:09Z,2015-12-26T23:11:20Z,JavaScript
MDEwOlJlcG9zaXRvcnk2MjAxMDky,mpv,29758,2929,845,9414,5161,86,2025-02-23T00:40:12Z,2012-10-13T08:08:44Z,C
MDEwOlJlcG9zaXRvcnkzODczMjY4OTA=,Real-ESRGAN,29738,3222,532,169,94,10,2024-08-06T13:15:18Z,2021-07-19T03:23:30Z,Python
MDEwOlJlcG9zaXRvcnkyNTczMDU4,foundation-sites,29724,5380,49,8180,4106,79,2025-01-21T22:11:53Z,2011-10-13T23:05:42Z,HTML
R_kgDOHE14iw,Umi-OCR,29703,2953,173,475,52,30,2025-02-09T03:23:39Z,2022-03-28T04:01:46Z,Python
MDEwOlJlcG9zaXRvcnkyNDk5OTU3NTA=,Reactive-Resume,29687,2948,209,1238,758,95,2025-02-23T00:10:55Z,2020-03-25T14:08:22Z,TypeScript
MDEwOlJlcG9zaXRvcnkyMzMxMzAwODk=,bubbletea,29687,848,67,260,789,55,2025-02-21T14:12:54Z,2020-01-10T21:04:03Z,Go
MDEwOlJlcG9zaXRvcnk3MjM0MzY1Nw==,lossless-cut,29685,1413,176,1359,254,99,2025-02-20T06:22:10Z,2016-10-30T10:49:56Z,TypeScript
MDEwOlJlcG9zaXRvcnk3MTI1MzA=,fabric.js,29674,3487,400,5730,3119,165,2025-02-16T20:42:03Z,2010-06-09T22:24:38Z,JavaScript
MDEwOlJlcG9zaXRvcnkyOTE0Mzg1MjI=,siyuan,29631,1886,334,13284,505,743,2025-02-23T10:34:50Z,2020-08-30T09:21:35Z,TypeScript
MDEwOlJlcG9zaXRvcnkzMDY5Nzc2MzM=,AI-Expert-Roadmap,29572,2479,19,46,18,0,2023-12-31T02:20:16Z,2020-10-24T21:49:40Z,JavaScript
MDEwOlJlcG9zaXRvcnk0NzAzOTI1NQ==,editor.js,29571,2082,584,919,1149,100,2025-01-11T13:30:33Z,2015-11-28T20:56:35Z,TypeScript
MDEwOlJlcG9zaXRvcnkzNDgyNDQ5OQ==,leakcanary,29557,3925,98,1512,1069,43,2025-01-08T23:35:20Z,2015-04-29T23:54:16Z,Kotlin
MDEwOlJlcG9zaXRvcnkxMzEyNDgwMg==,influxdb,29538,3533,2022,11732,11869,87,2025-02-23T01:01:46Z,2013-09-26T14:31:10Z,Rust
MDEwOlJlcG9zaXRvcnkxODcyMzgzNg==,hutool,29532,7528,3,2882,913,149,2025-02-21T09:52:37Z,2014-04-13T07:23:51Z,Java
MDEwOlJlcG9zaXRvcnk5NTg3Njc3NQ==,project-guidelines,29522,3134,9,29,134,0,2024-12-09T07:59:04Z,2017-06-30T10:17:55Z,JavaScript
MDEwOlJlcG9zaXRvcnk0NjI3MzQ0NQ==,uppy,29519,2012,142,2236,3259,132,2025-02-17T14:09:27Z,2015-11-16T12:32:33Z,TypeScript
MDEwOlJlcG9zaXRvcnkzMDk2OTE4OA==,react-boilerplate,29512,5833,83,1822,1194,16,2023-03-23T21:35:09Z,2015-02-18T14:36:32Z,JavaScript
MDEwOlJlcG9zaXRvcnkyMjExMjQz,kafka,29509,13760,0,0,19011,0,2025-02-23T10:47:13Z,2011-08-15T18:06:16Z,Java
R_kgDOLAgryw,fabric,29499,3011,175,412,419,92,2025-02-14T07:52:40Z,2024-01-03T23:18:31Z,Go
MDEwOlJlcG9zaXRvcnkxMjAwMDUw,phantomjs,29484,5573,14,4731,1137,0,2022-11-26T19:43:12Z,2010-12-27T08:18:58Z,C++
MDEwOlJlcG9zaXRvcnkxODkyODU1NTQ=,stats,29447,940,21,1911,463,284,2025-02-22T17:44:10Z,2019-05-29T19:24:56Z,Swift
MDEwOlJlcG9zaXRvcnkxMTk4NTM5,netron,29442,2822,21,1154,249,3,2025-02-23T15:41:02Z,2010-12-26T12:53:43Z,JavaScript
MDEwOlJlcG9zaXRvcnkxNDA5ODEyMQ==,500lines,29409,5664,31,39,233,0,2023-08-19T11:18:34Z,2013-11-04T02:02:53Z,JavaScript
MDEwOlJlcG9zaXRvcnkxNzM3MjczMw==,OpenAPI-Specification,29400,8943,171,2120,1691,12,2025-02-23T15:09:38Z,2014-03-03T16:53:36Z,Markdown
R_kgDOIp7dzQ,comprehensive-rust,29372,1732,106,214,2265,0,2025-02-22T19:48:10Z,2022-12-21T15:17:24Z,Rust
MDEwOlJlcG9zaXRvcnkyMzYwOTU1NzY=,backstage,29372,6203,345,6224,21116,406,2025-02-21T23:20:23Z,2020-01-24T22:39:49Z,TypeScript
R_kgDOJRAMAg,Mr.-Ranedeer-AI-Tutor,29370,3350,13,34,30,3,2024-03-25T13:06:55Z,2023-03-31T12:37:26Z,Unknown
R_kgDOJoiDfg,roop,29348,6147,0,0,225,6,2024-08-19T12:57:17Z,2023-05-28T14:37:54Z,Python
MDEwOlJlcG9zaXRvcnkzMzkwMjQz,servo,29347,3038,3141,9932,22407,0,2025-02-23T16:57:07Z,2012-02-08T19:07:25Z,Rust
MDEwOlJlcG9zaXRvcnkxNTU4NTQ0NA==,Hover,29341,5719,24,83,67,10,2023-10-28T16:07:33Z,2014-01-02T14:27:35Z,SCSS
MDEwOlJlcG9zaXRvcnkyMzczNjQ0OQ==,particles.js,29340,4771,301,106,117,6,2024-03-28T03:21:07Z,2014-09-06T14:29:47Z,JavaScript
MDEwOlJlcG9zaXRvcnk1MzEyNzQwMw==,apollo,29333,10010,136,3159,1738,41,2025-02-18T01:25:58Z,2016-03-04T10:24:23Z,Java
MDEwOlJlcG9zaXRvcnkzNjgwNDQ4Ng==,tqdm,29327,1351,429,584,577,131,2025-02-05T17:46:50Z,2015-06-03T13:13:14Z,Python
R_kgDOKsEXCg,GPTs,29312,3932,6,21,58,0,2024-09-27T03:31:47Z,2023-11-11T03:24:16Z,Unknown
MDEwOlJlcG9zaXRvcnk0Mjk1NjQ2Nw==,awesome-macos-command-line,29267,1376,0,0,181,0,2021-09-02T13:26:37Z,2015-09-22T19:37:55Z,Unknown
MDEwOlJlcG9zaXRvcnkyOTg5MTE4OA==,standard,29266,2273,111,1121,697,7,2024-09-13T12:48:47Z,2015-01-27T01:23:31Z,JavaScript
MDEwOlJlcG9zaXRvcnkzMzIzNTc2OTg=,ruoyi-vue-pro,29265,6295,12,512,161,34,2025-02-15T02:03:30Z,2021-01-24T03:18:25Z,Java
MDEwOlJlcG9zaXRvcnkxNzM3NTQzNg==,es6features,29226,2649,21,36,77,0,2023-01-27T13:36:18Z,2014-03-03T18:29:30Z,Unknown
MDEwOlJlcG9zaXRvcnk1ODg0MjcwNw==,algo,29201,2311,174,1429,734,2,2024-08-30T02:15:55Z,2016-05-15T03:42:48Z,Jinja
MDEwOlJlcG9zaXRvcnk2OTM0Mzk1,rocksdb,29180,5909,691,2599,9883,200,2025-02-23T01:44:29Z,2012-11-30T06:16:18Z,C++
MDEwOlJlcG9zaXRvcnk3MTIyNTk0,directus,29175,4039,528,8458,8877,327,2025-02-22T04:48:30Z,2012-12-12T01:35:36Z,TypeScript
R_kgDOGQiQXg,paper-reading,29134,2532,0,0,19,0,2024-11-17T19:49:37Z,2021-10-22T06:34:51Z,Unknown
MDEwOlJlcG9zaXRvcnk0NTQ1NjgwNA==,awesome-python-cn,29115,7356,13,18,82,0,2022-08-29T11:28:59Z,2015-11-03T09:50:50Z,Makefile
MDEwOlJlcG9zaXRvcnkyNTQxMjg0,cheerio,29103,1553,27,1179,3185,58,2025-02-20T04:05:13Z,2011-10-09T04:23:20Z,TypeScript
MDEwOlJlcG9zaXRvcnkyMzgzMTY0Mjg=,COVID-19,29088,18169,1680,2079,2773,0,2023-06-10T18:39:00Z,2020-02-04T22:03:53Z,Unknown
MDEwOlJlcG9zaXRvcnkyMjQ2NjM2OTY=,alpine,29088,1262,1,608,958,136,2025-02-11T00:36:39Z,2019-11-28T13:51:55Z,HTML
MDEwOlJlcG9zaXRvcnkxMDM3ODQxNDI=,MonitorControl,29050,837,7,950,262,26,2025-02-06T10:29:10Z,2017-09-16T21:13:40Z,Swift
R_kgDOGQOHdA,data-engineering-zoomcamp,29030,6084,1,132,564,0,2025-02-22T14:41:28Z,2021-10-21T09:32:50Z,Jupyter Notebook
MDEwOlJlcG9zaXRvcnkxNzg2MjY3MjA=,pytorch-lightning,29022,3375,869,6352,10382,163,2025-02-18T10:24:34Z,2019-03-31T00:45:57Z,Python
MDEwOlJlcG9zaXRvcnk0NTI0MTgx,folly,29002,5563,270,912,1162,228,2025-02-22T16:47:03Z,2012-06-01T20:49:04Z,C++
MDEwOlJlcG9zaXRvcnk1MDQ0NzcyMA==,swift-algorithm-club,28959,4827,32,183,803,0,2024-12-06T07:03:07Z,2016-01-26T17:56:12Z,Swift
MDEwOlJlcG9zaXRvcnk4NTU0MTIxOA==,weekly,28956,3180,2,363,148,193,2024-09-09T01:39:37Z,2017-03-20T06:10:04Z,JavaScript
MDEwOlJlcG9zaXRvcnkxNjI3MjMxMDQ=,CheatSheetSeries,28924,3944,43,438,1099,0,2025-02-20T13:56:20Z,2018-12-21T14:26:43Z,Python
MDEwOlJlcG9zaXRvcnkxNDU0NjQ0NDU=,tiptap,28923,2375,528,2419,1426,850,2025-02-17T12:40:11Z,2018-08-20T19:58:58Z,TypeScript
MDEwOlJlcG9zaXRvcnk5MDg2MDc=,numpy,28890,10340,2009,11112,15205,125,2025-02-22T23:58:08Z,2010-09-13T23:02:39Z,Python
MDEwOlJlcG9zaXRvcnkxMzU1MTYyNzA=,k3s,28859,2332,122,6333,4298,830,2025-02-21T22:45:33Z,2018-05-31T01:37:46Z,Go
MDEwOlJlcG9zaXRvcnkzNDQxOTExOTg=,Data-Science-For-Beginners,28859,5887,22,95,403,0,2025-02-13T17:12:03Z,2021-03-03T16:30:15Z,Jupyter Notebook
MDEwOlJlcG9zaXRvcnkxODY0MzYz,composer,28835,4513,107,7686,4056,209,2025-02-19T13:54:03Z,2011-06-08T08:53:00Z,PHP
MDEwOlJlcG9zaXRvcnk3NTg3MDM4,canal,28827,7517,1096,3551,697,32,2025-01-24T09:14:41Z,2013-01-13T10:59:52Z,Java
MDEwOlJlcG9zaXRvcnkxNDMxNTQ3,django-rest-framework,28820,6756,0,0,4752,19,2025-02-20T09:52:15Z,2011-03-02T17:13:56Z,Python
MDEwOlJlcG9zaXRvcnkxMDcyODY4ODk=,croc,28806,1126,7,513,347,172,2025-02-11T08:40:35Z,2017-10-17T15:20:18Z,Go
MDEwOlJlcG9zaXRvcnk3NDI2MDUwOA==,docsify,28803,5625,143,1133,1136,14,2025-02-08T07:57:47Z,2016-11-20T07:55:43Z,JavaScript
MDEwOlJlcG9zaXRvcnk0MTU5Mjc0NA==,css-protips,28803,2142,1,59,135,0,2025-02-21T14:48:30Z,2015-08-29T12:29:03Z,Unknown
R_kgDOGgbgbw,surrealdb,28750,952,674,1268,2126,66,2025-02-23T00:06:35Z,2021-12-09T15:03:29Z,Rust
